"Sage Pay Fraud Report","Sage Pay Fraud Report"
"Sage Pay Credit Card Tokens Report","Sage Pay Credit Card Tokens Report"
Delete,Delete
"'Something went wrong: ' .","'Something went wrong: ' ."
"Invalid FORM encrypted password.","Invalid FORM encrypted password."
"Invalid response from Sage Pay","Invalid response from Sage Pay"
"Can not create order","Can not create order"
"Unable to sync from API: Invalid order id.","Unable to sync from API: Invalid order id."
"Successfully synced from Sage Pay's API","Successfully synced from Sage Pay's API"
"Unable to save Sage Pay order.","Unable to save Sage Pay order."
"Invalid Sage Pay response.","Invalid Sage Pay response."
Reports,Reports
"Sage Pay","Sage Pay"
Fraud,Fraud
"Sage Pay Fraud","Sage Pay Fraud"
"Unable to delete token: Invalid token id.","Unable to delete token: Invalid token id."
"Token deleted successfully.","Token deleted successfully."
"'Registered tokens in Sage Pay: ' .","'Registered tokens in Sage Pay: ' ."
"Unable to check registered tokens in Sage Pay: %1","Unable to check registered tokens in Sage Pay: %1"
"'Unable to check registered tokens in Sage Pay: ' .","'Unable to check registered tokens in Sage Pay: ' ."
"Credit Card Tokens","Credit Card Tokens"
"Sage Pay Credit Card Tokens","Sage Pay Credit Card Tokens"
"My Saved Credit Cards","My Saved Credit Cards"
"Invalid response from Sage Pay.","Invalid response from Sage Pay."
"Order not available.","Order not available."
"Invalid transaction id.","Invalid transaction id."
"Your payment was successful but the order was NOT created, please contact us: %1","Your payment was successful but the order was NOT created, please contact us: %1"
"Unable to save Sage Pay order","Unable to save Sage Pay order"
"Invalid Sage Pay response","Invalid Sage Pay response"
"Something went wrong while generating the merchant session key.","Something went wrong while generating the merchant session key."
"Invalid Sage Pay response, please use another payment method.","Invalid Sage Pay response, please use another payment method."
"""Can not place PayPal order: "" .","""Can not place PayPal order: "" ."
"Can not place PayPal order, please try another payment method","Can not place PayPal order, please try another payment method"
"Unable to find payment data.","Unable to find payment data."
"Invalid order.","Invalid order."
"Invalid transaction id","Invalid transaction id"
"Invalid VPS Signature","Invalid VPS Signature"
"An error ocurred.","An error ocurred."
"Unable to delete token: Token is not owned by you","Unable to delete token: Token is not owned by you"
error_message,error_message
"Can not save order. Please try another payment option.","Can not save order. Please try another payment option."
"Online MOTO transaction.","Online MOTO transaction."
"Online transaction.","Online transaction."
"Information received from an invalid IP address.","Information received from an invalid IP address."
"Invalid Sage Pay API credentials.","Invalid Sage Pay API credentials."
"Transaction NOT found / Invalid transaction Id.","Transaction NOT found / Invalid transaction Id."
"Invalid merchant authentication.","Invalid merchant authentication."
"Your Sage Pay API user/password is invalid or the user might be locked out.","Your Sage Pay API user/password is invalid or the user might be locked out."
"Default: Use default MySagePay settings","Default: Use default MySagePay settings"
"Disable: Disable authentication and rules","Disable: Disable authentication and rules"
"Force: Apply authentication even if turned off","Force: Apply authentication even if turned off"
"Force & Ignore: Apply authentication but ignore rules","Force & Ignore: Apply authentication but ignore rules"
"Sage50 compatible","Sage50 compatible"
XML,XML
Disabled,Disabled
"Base Currency","Base Currency"
"Currency Switcher","Currency Switcher"
"Send customer and vendor emails","Send customer and vendor emails"
"Do not send either customer or vendor emails","Do not send either customer or vendor emails"
"Send vendor email but NOT the customer email","Send vendor email but NOT the customer email"
"Medium and high risk transactions","Medium and high risk transactions"
"High risk transactions only","High risk transactions only"
Test,Test
Live,Live
"Payment - Authorize and Capture","Payment - Authorize and Capture"
"Defer - Authorize Only","Defer - Authorize Only"
"Authorize - Authorize Only","Authorize - Authorize Only"
"Payment not found for this transaction.","Payment not found for this transaction."
"There was an error %1 Sage Pay transaction %2: %3","There was an error %1 Sage Pay transaction %2: %3"
"There was an error refunding Sage Pay transaction %1: %2","There was an error refunding Sage Pay transaction %1: %2"
"Invalid encryption string","Invalid encryption string"
"Unable to VOID Sage Pay transaction %1: %2","Unable to VOID Sage Pay transaction %1: %2"
"You can't use the payment type you selected to make payments to the billing country.","You can't use the payment type you selected to make payments to the billing country."
"This credit card type is not allowed for this payment method","This credit card type is not allowed for this payment method"
"'Something went wrong while generating the Sage Pay request: ' .","'Something went wrong while generating the Sage Pay request: ' ."
"Magento ecom transaction.","Magento ecom transaction."
"'There was an error refunding Sage Pay transaction ' . . "": "" .","'There was an error refunding Sage Pay transaction ' . . "": "" ."
"This Sage Pay transaction cannot be refunded online because the
            Reporting API communication could not be established. The response is: %1","This Sage Pay transaction cannot be refunded online because the
            Reporting API communication could not be established. The response is: %1"
"Your Sage Pay Suite license is invalid.","Your Sage Pay Suite license is invalid."
"Can not establish connection with Sage Pay API.","Can not establish connection with Sage Pay API."
"The user does not have permission to view this transaction.","The user does not have permission to view this transaction."
"Authentication values are missing","Authentication values are missing"
"Sage Pay is not available.","Sage Pay is not available."
"Something went wrong: Sage Pay is not available.","Something went wrong: Sage Pay is not available."
