"Round fractions up","Round fractions up"
"Round fractions down","Round fractions down"
"Please correct the target currency.","Please correct the target currency."
"Price Options","Price Options"
"Enabled Rounding","Enabled Rounding"
"Rounding Base Price","Rounding Base Price"
"Rounding Type","Rounding Type"
"Round fractions up or Round fractions down.","Round fractions up or Round fractions down."
Precision,Precision
"The optional number of decimal digits to round to.","The optional number of decimal digits to round to."
"Subtract Amount","Subtract Amount"
"Subtract Amount from the Result.","Subtract Amount from the Result."
Amount,Amount
"Show decimal zeros","Show decimal zeros"
"Replace zero price","Replace zero price"
"Text of replace","Text of replace"
"Text instead of zero price.","Text instead of zero price."
