Simple,Simple
Colorful,Colorful
Flip,Flip
"PRICE COUNTDOWN","PRICE COUNTDOWN"
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Launching in","Launching in"
"Magebuzz Extensions","Magebuzz Extensions"
"Time Countdown","Time Countdown"
General,General
"Display Countdown in the Product Page","Display Countdown in the Product Page"
"Display Countdown in the Category Page","Display Countdown in the Category Page"
"Display Countdown in the Homepage","Display Countdown in the Homepage"
"Display only one Countdown for all Products in Homepage","Display only one Countdown for all Products in Homepage"
"If you choose ""No"", it will display different countdown for each product","If you choose ""No"", it will display different countdown for each product"
"From Date","From Date"
"To Date","To Date"
"Select Style of Countdown","Select Style of Countdown"
