Duplicateinfo,Duplicateinfo
"Store Id","Store Id"
"Category Path","Category Path"
"Category Id","Category Id"
"Current request path","Current request path"
"Url key","Url key"
"SEO Templates","SEO Templates"
Redirects,Redirects
"SEO Rewrites","SEO Rewrites"
Autolinks,Autolinks
Settings,Settings
"Redirect Manager","Redirect Manager"
"Add New Redirect","Add New Redirect"
"Add Redirect","Add Redirect"
"Import/Export Redirects","Import/Export Redirects"
"Edit Redirect (ID: %1)","Edit Redirect (ID: %1)"
General,General
"Request Url","Request Url"
"Target Url","Target Url"
"Redirect only if request URL can't be found (404)","Redirect only if request URL can't be found (404)"
Comments,Comments
Status,Status
Active,Active
Inactive,Inactive
"Visible in Store View","Visible in Store View"
ID,ID
Enabled,Enabled
Disabled,Disabled
Enable,Enable
Disable,Disable
Delete,Delete
"Are you sure?","Are you sure?"
"Rewrite Manager","Rewrite Manager"
"Add Rewrite","Add Rewrite"
"Save Rewrite","Save Rewrite"
"Delete Rewrite","Delete Rewrite"
"Save And Continue Edit","Save And Continue Edit"
"Edit Rewrite '%1'","Edit Rewrite '%1'"
"General Information","General Information"
"Pattern of Url or Action name","Pattern of Url or Action name"
Title,Title
"Seo Description","Seo Description"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Is Active","Is Active"
No,No
Yes,Yes
"Visible In","Visible In"
"Rewrite Information","Rewrite Information"
Url,Url
Action,Action
Edit,Edit
"Change status","Change status"
button_label,button_label
"URL Pattern","URL Pattern"
Option,Option
Add,Add
"Meta title","Meta title"
"Meta keywords","Meta keywords"
"Meta description","Meta description"
"Title (H1)","Title (H1)"
"SEO description","SEO description"
"Product short description","Product short description"
"Product description","Product description"
"Add SEO Template","Add SEO Template"
"Edit SEO Template (ID: %1)","Edit SEO Template (ID: %1)"
"Rule type","Rule type"
"Internal rule name","Internal rule name"
"SEO description position","SEO description position"
"Apply for Store View","Apply for Store View"
"Sort Order","Sort Order"
Conditions,Conditions
"Rules Processing","Rules Processing"
"Stop Further Rules Processing","Stop Further Rules Processing"
