Home,Home
"Go to Home Page","Go to Home Page"
"Priority must be between 0 and 1","Priority must be between 0 and 1"
Catalog,Catalog
Stores,Stores
Pages,Pages
"Extended Site Map","Extended Site Map"
"Base URL Path To Frontend Sitemap","Base URL Path To Frontend Sitemap"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"H1 Header","H1 Header"
"Show Products","Show Products"
"Show CMS Pages","Show CMS Pages"
"Ignore CMS Pages","Ignore CMS Pages"
"Show Stores","Show Stores"
"Additional links","Additional links"
"Exclude by pattern","Exclude by pattern"
"Limit the number of links on one page","Limit the number of links on one page"
