Facebook,Facebook
Like!,Like!
"Flickr Stream","Flickr Stream"
"Social Feeds","Social Feeds"
"Facebook Fanbox","Facebook Fanbox"
Enable,Enable
"Facebook Name","Facebook Name"
"Showing Counts","Showing Counts"
"Flickr Photos","Flickr Photos"
"API Key","API Key"
"Go to <a href=""http://www.flickr.com/services/api/key.gne"" target=""_blank"">http://www.flickr.com/services/api/key.gne</a> to get API Key","Go to <a href=""http://www.flickr.com/services/api/key.gne"" target=""_blank"">http://www.flickr.com/services/api/key.gne</a> to get API Key"
"Photo Set Id","Photo Set Id"
