Read Details,Lire les détails,module,Magento_AdminNotification
Mark as Read,Marquer comme lu,module,Magento_AdminNotification
Are you sure?,Êtes-vous sûr ?,module,Magento_AdminNotification
Remove,Déposer,module,Magento_AdminNotification
Messages Inbox,Boîte de réception Messages,module,Magento_AdminNotification
You have %1 new system messages,Vous avez  %1 nouveaux messages système,module,Magento_AdminNotification
You have %1 new system message,Vous avez  %1 nouveau message système,module,Magento_AdminNotification
Incoming Message,Message entrant,module,Magento_AdminNotification
close,Fermer,module,Magento_AdminNotification
Notifications,Notifications Me,module,Magento_AdminNotification
The message has been marked as Read.,Le message a été marqué comme lu.,module,Magento_AdminNotification
We couldn't mark the notification as Read because of an error.,"Nous ne pouvions pas repérer la notification, comme Lire la suite d'une erreur.",module,Magento_AdminNotification
Please select messages.,Veuillez sélectionner les messages.,module,Magento_AdminNotification
A total of %1 record(s) have been marked as Read.,Un total de  %1 enregistrement(s) ont été marqués comme lus.,module,Magento_AdminNotification
Total of %1 record(s) have been removed.,Total de  %1 enregistrement(s) ont été supprimés.,module,Magento_AdminNotification
We couldn't remove the messages because of an error.,Nous ne pouvions pas supprimer les messages en raison d'une erreur.,module,Magento_AdminNotification
The message has been removed.,Le message a été supprimé.,module,Magento_AdminNotification
1 Hour,1 heure,module,Magento_AdminNotification
2 Hours,2 heures,module,Magento_AdminNotification
6 Hours,6 heures,module,Magento_AdminNotification
12 Hours,12 heures,module,Magento_AdminNotification
24 Hours,24 heures,module,Magento_AdminNotification
critical,Critical,module,Magento_AdminNotification
major,Les principaux,module,Magento_AdminNotification
minor,Minor,module,Magento_AdminNotification
notice,Avis,module,Magento_AdminNotification
Wrong message type,Type de message erroné,module,Magento_AdminNotification
Wrong notification ID specified.,Notification erronée ID spécifié.,module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}}de base n'est pas recommandé d'utiliser dans un environnement de production de déclarer l'URL non sécurisé de base / Base URL sécurisée. Nous vous recommandons fortement de changer cette valeur dans votre Magento  <a href ="" %1"" >configuration </a >.",module,Magento_AdminNotification
One or more of the Cache Types are invalidated: %1. ,Un ou plusieurs des types de cache sont invalidés :  %1.,module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Accédez à  <a href ="" %1"" >gestion de cache </a > Rafraîchir et types de cache.",module,Magento_AdminNotification
